SampleName;Na2O;MgO;Al2O3;SiO2;P2O5;K2O;CaO;TiO2;MnO;Fe2O3 t;Li;Be;B;F;S;Cl;Sc;V;Cr;Co;Ni;Cu;Zn;Ga;Ge;As;Se;Br;Rb;Sr;Y;Zr;Nb;Mo;Ru;Rh;Pd;Ag;Cd;In;Sn;Sb;Te;I;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;W;Re;Os;Ir;Pt;Au;Hg;Tl;Pb;Bi;Th;U
BHVO2;2.22E+00;7.26E+00;1.34E+01;4.96E+01;2.69E-01;5.13E-01;1.14E+01;2.73E+00;1.69E-01;1.24E+01;4.50E+00;1.08E+00;2.95E+00;3.96E+02;1.64E+02;1.07E+02;3.18E+01;3.18E+02;2.87E+02;4.49E+01;1.20E+02;1.29E+02;1.04E+02;2.14E+01;1.62E+00;7.00E-01;1.80E-01;3.00E-01;9.26E+00;3.94E+02;2.59E+01;1.71E+02;1.81E+01;4.07E+00;1.25E-04;7.00E-04;2.70E-03;8.90E-02;1.52E-01;1.17E-01;1.78E+00;1.03E-01;1.40E-02;2.00E-02;9.96E-02;1.31E+02;1.52E+01;3.75E+01;5.34E+00;2.43E+01;6.02E+00;2.04E+00;6.21E+00;9.39E-01;5.28E+00;9.89E-01;2.51E+00;3.35E-01;1.99E+00;2.75E-01;4.47E+00;1.15E+00;2.51E-01;5.43E-04;1.11E-04;7.00E-05;8.90E-03;2.60E-03;2.00E-03;2.24E-02;1.65E+00;1.48E-02;1.22E+00;4.12E-01
BEN;3.22E+00;1.31E+01;9.98E+00;3.82E+01;1.04E+00;1.42E+00;1.40E+01;2.61E+00;2.00E-01;1.27E+01;1.29E+01;1.90E+00;6.60E+00;1.10E+03;3.15E+02;1.80E+02;2.26E+01;2.32E+02;3.53E+02;5.90E+01;2.70E+02;6.88E+01;1.23E+02;1.72E+01;1.17E+00;1.91E+00;6.40E-02;1.00E+00;4.76E+01;1.39E+03;2.94E+01;2.73E+02;1.13E+02;2.75E+00;;;;4.00E-02;2.00E-01;7.00E-02;1.68E+00;2.69E-01;1.00E-03;2.00E-02;7.29E-01;1.04E+03;8.26E+01;1.53E+02;1.74E+01;6.64E+01;1.20E+01;3.68E+00;1.01E+01;1.30E+00;6.48E+00;1.08E+00;2.61E+00;3.22E-01;1.82E+00;2.49E-01;5.72E+00;5.64E+00;2.80E+01;;;;;2.50E-03;1.20E-02;3.63E-02;4.08E+00;1.00E-02;1.06E+01;2.44E+00
BCR2;3.12E+00;3.60E+00;1.35E+01;5.40E+01;3.59E-01;1.77E+00;7.11E+00;2.27E+00;1.97E-01;1.38E+01;9.13E+00;2.17E+00;4.40E+00;4.70E+02;3.18E+02;9.60E+01;3.35E+01;4.18E+02;1.59E+01;3.73E+01;1.26E+01;1.97E+01;1.30E+02;2.21E+01;1.46E+00;8.60E-01;8.20E-02;1.70E-01;4.60E+01;3.37E+02;3.61E+01;1.87E+02;1.24E+01;2.51E+02;3.30E-05;2.00E-04;3.60E-04;9.00E-02;6.90E-01;7.00E-01;2.28E+00;3.02E-01;4.00E-03;1.70E-02;1.16E+00;6.84E+02;2.51E+01;5.31E+01;6.83E+00;2.83E+01;6.55E+00;1.99E+00;6.81E+00;1.08E+00;6.42E+00;1.31E+00;3.67E+00;5.34E-01;3.39E+00;5.05E-01;4.97E+00;7.85E-01;4.65E-01;1.26E-02;2.50E-05;1.80E-05;1.20E-03;1.30E-03;1.20E-03;2.67E-01;1.06E+01;5.00E-02;5.83E+00;1.68E+00
AGV2;4.20E+00;1.80E+00;1.70E+01;5.91E+01;4.83E-01;2.90E+00;5.15E+00;1.05E+00;1.00E-01;6.78E+00;1.08E+01;2.21E+00;6.45E+00;4.00E+02;2.40E+01;6.80E+01;1.31E+01;1.19E+02;1.62E+01;1.55E+01;1.89E+01;5.15E+01;8.67E+01;2.04E+01;1.20E+00;6.70E-01;;1.30E-01;6.78E+01;6.60E+02;1.91E+01;2.32E+02;1.41E+01;2.00E+00;;;;9.00E-02;1.84E-01;4.78E-02;1.83E+00;4.58E-01;2.90E-03;7.00E-03;1.17E+00;1.13E+03;3.82E+01;6.94E+01;8.17E+00;3.05E+01;5.51E+00;1.55E+00;4.68E+00;6.51E-01;3.55E+00;6.82E-01;1.83E+00;2.62E-01;1.65E+00;2.51E-01;5.14E+00;8.65E-01;5.53E-01;2.90E-04;4.20E-06;;;;;2.75E-01;1.31E+01;5.20E-02;6.17E+00;1.89E+00
BIR1;1.83E+00;9.69E+00;1.55E+01;4.78E+01;3.00E-02;2.90E-02;1.33E+01;9.59E-01;1.73E-01;1.14E+01;3.20E+00;1.02E-01;2.50E-01;5.50E+01;7.00E+01;4.40E+01;4.32E+01;3.21E+02;3.93E+02;5.22E+01;1.69E+02;1.21E+02;7.04E+01;1.55E+01;1.46E+00;1.70E-01;1.90E-02;6.50E-02;2.10E-01;1.09E+02;1.56E+01;1.48E+01;5.53E-01;6.80E-02;3.70E-04;3.40E-04;6.00E-03;4.10E-02;7.70E-02;5.76E-02;7.01E-01;4.62E-01;5.70E-03;1.40E-02;6.46E-03;6.75E+00;6.27E-01;1.92E+00;3.72E-01;2.40E+00;1.11E+00;5.20E-01;1.81E+00;3.62E-01;2.54E+00;5.72E-01;1.68E+00;2.56E-01;1.63E+00;2.48E-01;5.82E-01;4.14E-02;2.70E-02;6.50E-04;3.80E-04;1.80E-04;4.60E-03;2.50E-03;7.30E-03;2.10E-03;3.04E+00;5.10E-03;3.28E-02;1.05E-02
BR24;;;;;;;;;;;7.15E+00;;;;;;2.59E+01;2.67E+02;4.25E+02;5.26E+01;2.38E+02;3.70E+01;1.09E+02;;;;;;8.00E+01;6.07E+02;2.85E+01;2.94E+02;3.81E+01;;;;;;;;;;;;6.48E-01;3.90E+02;3.36E+01;7.39E+01;9.61E+00;3.99E+01;8.36E+00;2.53E+00;7.28E+00;1.03E+00;5.77E+00;1.05E+00;2.70E+00;;2.13E+00;2.97E-01;6.75E+00;2.34E+00;;;;;;;;8.89E-02;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
